"Years","OFL","ABC","ACL","Landings","Total_Dead"
1999,"fill_in","fill_in","fill_in","509","598.846"
2000,"fill_in","fill_in","fill_in","133","156.383"
2001,"fill_in","fill_in","fill_in","264","310.195"
2002,"fill_in","fill_in","fill_in","150","176.117"
2003,"fill_in","fill_in","fill_in","134","157.415"
2004,"fill_in","fill_in","fill_in","122","143.841"
2005,"fill_in","fill_in","fill_in","64","75.8575"
2006,"fill_in","fill_in","fill_in","72","85.5009"
2007,"fill_in","fill_in","fill_in","132","156.201"
2008,"fill_in","fill_in","fill_in","86","134.434"
2009,"fill_in","fill_in","fill_in","95","202.29"
2010,"fill_in","fill_in","fill_in","91","140.937"
2011,"fill_in","fill_in","fill_in","NA","NA"
